symbol,ex_code,sectype,currency,name,sector,industry,startdate,enddate
RE,ARCA,largecap,USD,Everest Re Group Ltd.,Financials,Reinsurance,1995-10-03,2020-05-11
REG,ARCA,largecap,USD,Regency Centers Corporation,Real Estate,Retail REITs,1994-01-03,2020-05-11
REGN,ARCA,largecap,USD,Regeneron Pharmaceuticals,Health Care,Biotechnology,1994-01-03,2020-05-11
RF,ARCA,largecap,USD,Regions Financial Corp.,Financials,Regional Banks,1994-01-03,2020-05-11
RHI,ARCA,largecap,USD,Robert Half International,Industrials,Human Resource & Employment Services,1994-01-03,2020-05-11
RJF,ARCA,largecap,USD,Raymond James Financial Inc.,Financials,Investment Banking & Brokerage,1994-01-03,2020-05-11
RL,ARCA,largecap,USD,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1997-06-12,2020-05-11
RMD,ARCA,largecap,USD,ResMed,Health Care,Health Care Equipment,1995-06-02,2020-05-11
ROK,ARCA,largecap,USD,Rockwell Automation Inc.,Industrials,Electrical Components & Equipment,1994-01-03,2020-05-11
ROL,ARCA,largecap,USD,Rollins Inc.,Industrials,Environmental & Facilities Services,1994-01-03,2020-05-11
ROP,ARCA,largecap,USD,Roper Technologies,Industrials,Industrial Conglomerates,1994-01-03,2020-05-11
ROST,ARCA,largecap,USD,Ross Stores,Consumer Discretionary,Apparel Retail,1994-01-03,2020-05-11
RSG,ARCA,largecap,USD,Republic Services Inc,Industrials,Environmental & Facilities Services,1998-07-01,2020-05-08
RTX,ARCA,largecap,USD,Raytheon Technologies,Industrials,Aerospace & Defense,1994-01-03,2020-05-08
SBAC,ARCA,largecap,USD,SBA Communications,Real Estate,Specialized REITs,1999-06-16,2020-05-08
SBUX,ARCA,largecap,USD,Starbucks Corp.,Consumer Discretionary,Restaurants,1994-01-03,2020-05-11
SCHW,ARCA,largecap,USD,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,1994-01-03,2020-05-11
SEE,ARCA,largecap,USD,Sealed Air,Materials,Paper Packaging,1994-01-03,2020-05-11
SHW,ARCA,largecap,USD,Sherwin-Williams,Materials,Specialty Chemicals,1994-01-03,2020-05-11
SIVB,ARCA,largecap,USD,SVB Financial,Financials,Regional Banks,1994-01-03,2020-05-08
SJM,ARCA,largecap,USD,JM Smucker,Consumer Staples,Packaged Foods & Meats,1994-10-31,2020-05-11
